"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"COL","FISHLAND","NLD","TONNE","A","2015",41324.780421478,
"COL","FISHLAND","NLD","TONNE","A","2016",12142.818172481,
"COL","FISHLAND","NLD","TONNE","A","2017",47437.70878272,"E"
"COL","FISHLAND","NLD","TONNE","A","2018",47440.886757411,"E"
"LVA","FISHLAND","NLD","TONNE","A","2015",61211,
"LVA","FISHLAND","NLD","TONNE","A","2016",56542,
"LVA","FISHLAND","NLD","TONNE","A","2017",61902.77,"C"
"LVA","FISHLAND","NLD","TONNE","A","2018",67076.75,
"CRI","FISHLAND","NLD","TONNE","A","2015",13382.024893733,
"CRI","FISHLAND","NLD","TONNE","A","2016",10001.959289487,
"CRI","FISHLAND","NLD","TONNE","A","2017",8790.68175,
"CRI","FISHLAND","NLD","TONNE","A","2018",10335.997335,
"IDN","FISHLAND","NLD","TONNE","A","2015",6689688,
"IDN","FISHLAND","NLD","TONNE","A","2016",6542258,
"IDN","FISHLAND","NLD","TONNE","A","2017",6688738.9262801,
"IDN","FISHLAND","NLD","TONNE","A","2018",7195527.0705112,
"LTU","FISHLAND","NLD","TONNE","A","2015",1947.56613,
"LTU","FISHLAND","NLD","TONNE","A","2016",1681.53329,
"LTU","FISHLAND","NLD","TONNE","A","2017",1676.405,
"LTU","FISHLAND","NLD","TONNE","A","2018",1725.607,
"OECD","FISHLAND","NLD","TONNE","A","2015",21532219.490035,
"OECD","FISHLAND","NLD","TONNE","A","2016",18579430.710902,
"OECD","FISHLAND","NLD","TONNE","A","2017",18320770.618591,
"PER","FISHLAND","NLD","TONNE","A","2015",4834949.0482601,
"PER","FISHLAND","NLD","TONNE","A","2016",3825719.5313957,
"VNM","FISHLAND","NLD","TONNE","A","2015",2589803,
"VNM","FISHLAND","NLD","TONNE","A","2016",2870200,
